protocol,horizon,sim_seed,seed,val_acc,full_acc,val_majority,full_majority,overlap_fraction,n_train,n_val
chronological,10,0,11,0.3442288049029622,0.597219382539358,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,0,12,0.34933605720122574,0.5894500102228583,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,0,13,0.39632277834525026,0.5986505827029237,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,0,14,0.41266598569969354,0.6205274994888571,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,0,15,0.2931562819203269,0.47863422612962586,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,0,16,0.33299284984678246,0.5702310365978328,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,0,17,0.3983656792645557,0.618074013494173,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,0,18,0.3830439223697651,0.6260478429768963,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,0,19,0.3615934627170582,0.5041913719075853,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,1,0,0.35444330949948927,0.4960130852586383,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,1,0.36670071501532175,0.618074013494173,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,2,0.33299284984678246,0.6004906971989368,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,3,0.33605720122574056,0.554896749131057,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,4,0.3350357507660878,0.5303618891842159,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,5,0.33707865168539325,0.5810672664076876,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,6,0.34627170582226763,0.6154160703332652,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,7,0.3421859039836568,0.6246166428133306,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,8,0.3575076608784474,0.583316295236148,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,9,0.31562819203268644,0.5058270292373748,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,10,0.34933605720122574,0.5923124105499897,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,11,0.3432073544433095,0.5201390308730321,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,12,0.3575076608784474,0.5792271519116745,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,13,0.32482124616956076,0.5773870374156614,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,14,0.3391215526046987,0.5056225720711511,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,15,0.313585291113381,0.5708444080965038,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,16,0.36567926455566907,0.5804538949090166,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
