sweep,param,value,horizon,ceiling,oracle,error,majority,n_windows
paths,sim_seed,15,20,0.8093078919469551,0.8193449334698055,0.010037041522850454,0.35996721983200164,4881
paths,sim_seed,16,20,0.8093078919469551,0.7907881269191404,-0.018519765027814716,0.39643515673017826,4881
paths,sim_seed,17,20,0.8093078919469551,0.8186284544524053,0.009320562505450214,0.4097520999795124,4881
paths,sim_seed,18,20,0.8093078919469551,0.8015353121801434,-0.007772579766811671,0.37676705593116167,4881
paths,sim_seed,19,20,0.8093078919469551,0.8184237461617195,0.009115854214764463,0.35668920303216556,4881
window,window_size,25,5,0.689601994186341,0.6931658291457287,0.003563834959387613,0.5359082679541339,4971
window,window_size,50,5,0.689601994186341,0.6884848484848485,-0.0011171457014925723,0.5349777598059038,4946
window,window_size,100,5,0.689601994186341,0.6935714285714285,0.003969434385087456,0.5339052287581699,4896
window,window_size,200,5,0.689601994186341,0.6869791666666666,-0.0026228275196744644,0.5335696413678065,4796
window,window_size,400,5,0.689601994186341,0.686195652173913,-0.0034063420124280652,0.5322019147084421,4596
window,window_size,25,10,0.7478695885761109,0.7532193158953723,0.005349727319261421,0.3910592025775272,4966
window,window_size,50,10,0.7478695885761109,0.7460060667340749,-0.0018635218420359756,0.3900020238818053,4941
window,window_size,100,10,0.7478695885761109,0.7530132788559755,0.00514369027986461,0.388264158658761,4891
window,window_size,200,10,0.7478695885761109,0.7479666319082378,9.704333212690042e-05,0.38614068044249633,4791
window,window_size,400,10,0.7478695885761109,0.7442872687704026,-0.003582319805708223,0.3853191025920279,4591
window,window_size,25,20,0.8093078919469551,0.8101814516129032,0.0008735596659481537,0.4019370460048426,4956
window,window_size,50,20,0.8093078919469551,0.8137791286727456,0.004471236725790528,0.4039748529709998,4931
window,window_size,100,20,0.8093078919469551,0.8116683725690891,0.002360480622134009,0.40053267772997336,4881
window,window_size,200,20,0.8093078919469551,0.8124346917450366,0.003126799798081503,0.4020079481280067,4781
window,window_size,400,20,0.8093078919469551,0.8145038167938932,0.005195924846938094,0.40427854180309974,4581
threshold,threshold,0.0001,5,0.69819642270794,0.7021428571428572,0.0039464344349171565,0.4507761437908497,4896
threshold,threshold,0.00025,5,0.644836069230024,0.6594897959183674,0.014653726688343416,0.3684640522875817,4896
threshold,threshold,0.0005,5,0.689601994186341,0.6935714285714285,0.003969434385087456,0.5339052287581699,4896
threshold,threshold,0.001,5,0.8683316074603998,0.860204081632653,-0.008127525827746784,0.8547794117647058,4896
threshold,threshold,0.002,5,0.9958177498845514,0.994591836734694,-0.0012259131498574272,0.9967320261437909,4896
threshold,threshold,0.0001,10,0.7865232080488993,0.7933605720122574,0.006837363963358101,0.48047434062563893,4891
threshold,threshold,0.00025,10,0.7408035629020158,0.7454545454545454,0.004650982552529603,0.41913719075853606,4891
threshold,threshold,0.0005,10,0.7478695885761109,0.7530132788559755,0.00514369027986461,0.388264158658761,4891
threshold,threshold,0.001,10,0.8340546372523888,0.8250255362614911,-0.00902910099089771,0.6929053363320384,4891
threshold,threshold,0.002,10,0.969582047668877,0.9594484167517876,-0.010133630917089409,0.9605397669188305,4891
threshold,threshold,0.0001,20,0.8490257427083022,0.8713408393039919,0.022315096595689643,0.5099364884245031,4881
threshold,threshold,0.00025,20,0.8139006220163815,0.8322415557830093,0.01834093376662782,0.4681417742265929,4881
threshold,threshold,0.0005,20,0.8093078919469551,0.8116683725690891,0.002360480622134009,0.40053267772997336,4881
threshold,threshold,0.001,20,0.8446004446647998,0.8369498464687819,-0.007650598196017877,0.5259168203237041,4881
threshold,threshold,0.002,20,0.932964966639913,0.9301944728761515,-0.0027704937637614835,0.8563818889571809,4881
trainfrac,train_frac,0.5,5,0.6592997656033347,0.6580065359477124,-0.0012932296556222855,0.5339052287581699,4896
trainfrac,train_frac,0.6,5,0.6734735177902433,0.6733537519142421,-0.00011976587600126543,0.5339052287581699,4896
trainfrac,train_frac,0.7,5,0.6832215702260527,0.6835942818243704,0.00037271159831775424,0.5339052287581699,4896
trainfrac,train_frac,0.8,5,0.689601994186341,0.6935714285714285,0.003969434385087456,0.5339052287581699,4896
trainfrac,train_frac,0.9,5,0.6932224460438502,0.6946938775510205,0.0014714315071703288,0.5339052287581699,4896
trainfrac,train_frac,0.5,10,0.7225741918275355,0.7179067865903516,-0.004667405237183897,0.388264158658761,4891
trainfrac,train_frac,0.6,10,0.7344802469218945,0.7328564128768523,-0.0016238340450421829,0.388264158658761,4891
trainfrac,train_frac,0.7,10,0.7425880877084178,0.7450953678474115,0.002507280138993706,0.388264158658761,4891
trainfrac,train_frac,0.8,10,0.7478695885761109,0.7530132788559755,0.00514369027986461,0.388264158658761,4891
trainfrac,train_frac,0.9,10,0.7508589921063346,0.7471428571428571,-0.0037161349634774465,0.388264158658761,4891
trainfrac,train_frac,0.5,20,0.7901893438331892,0.7918476034412125,0.0016582596080233492,0.40053267772997336,4881
trainfrac,train_frac,0.6,20,0.7991917670017222,0.8010240655401946,0.0018322985384723323,0.40053267772997336,4881
trainfrac,train_frac,0.7,20,0.8053184600247736,0.8067576791808874,0.0014392191561137802,0.40053267772997336,4881
trainfrac,train_frac,0.8,20,0.8093078919469551,0.8116683725690891,0.002360480622134009,0.40053267772997336,4881
trainfrac,train_frac,0.9,20,0.8115654546299581,0.8120654396728015,0.0004999850428434316,0.40053267772997336,4881
