sim_seed,protocol,horizon,split_seed,n_train,n_val,val_majority,oracle_twin_acc,knn1_acc,analytic_ceiling
0,chronological,10,0,3912,979,0.4290091930541369,0.33401430030643514,0.3176710929519918,0.7478695885761109
0,purged_embargoed,10,0,3803,969,0.4262125902992776,0.23839009287925697,0.3157894736842105,0.7478695885761109
0,random_split,20,0,3904,977,0.40736949846468784,0.8096212896622313,0.3224155578300921,0.8093078919469551
0,random_split,20,1,3904,977,0.39508700102354144,0.8147389969293757,0.3633572159672467,0.8093078919469551
0,random_split,20,2,3904,977,0.37871033776867963,0.8157625383828045,0.32446264073694986,0.8093078919469551
0,random_split,20,3,3904,977,0.38792221084953943,0.8372569089048106,0.35516888433981575,0.8093078919469551
0,random_split,20,4,3904,977,0.3735926305015353,0.8311156601842374,0.3490276356192426,0.8093078919469551
0,random_split,20,5,3904,977,0.3705220061412487,0.8106448311156602,0.3254861821903787,0.8093078919469551
0,random_split,20,6,3904,977,0.3766632548618219,0.8024564994882293,0.34698055271238487,0.8093078919469551
0,random_split,20,7,3904,977,0.39508700102354144,0.8300921187308086,0.3254861821903787,0.8093078919469551
0,random_split,20,8,3904,977,0.3940634595701126,0.8219037871033776,0.34083930399181167,0.8093078919469551
0,random_split,20,9,3904,977,0.36438075742067555,0.827021494370522,0.35823950870010235,0.8093078919469551
0,random_split,20,10,3904,977,0.3858751279426817,0.8085977482088025,0.3265097236438076,0.8093078919469551
0,random_split,20,11,3904,977,0.38689866939611056,0.8137154554759468,0.32139201637666326,0.8093078919469551
0,random_split,20,12,3904,977,0.37154554759467756,0.8147389969293757,0.3633572159672467,0.8093078919469551
0,random_split,20,13,3904,977,0.3940634595701126,0.8167860798362334,0.345957011258956,0.8093078919469551
0,random_split,20,14,3904,977,0.39815762538382804,0.8178096212896623,0.33469805527123847,0.8093078919469551
0,random_split,20,15,3904,977,0.3797338792221085,0.8137154554759468,0.34698055271238487,0.8093078919469551
0,random_split,20,16,3904,977,0.39815762538382804,0.8311156601842374,0.34698055271238487,0.8093078919469551
0,random_split,20,17,3904,977,0.36131013306038895,0.812691914022518,0.353121801432958,0.8093078919469551
0,random_split,20,18,3904,977,0.38689866939611056,0.8167860798362334,0.34800409416581374,0.8093078919469551
0,random_split,20,19,3904,977,0.3828045035823951,0.8075742067553736,0.3265097236438076,0.8093078919469551
0,chronological,20,0,3904,977,0.4483111566018424,0.4483111566018424,0.3060388945752303,0.8093078919469551
0,purged_embargoed,20,0,3785,957,0.44932079414838033,0.44932079414838033,0.3124346917450366,0.8093078919469551
1,random_split,5,0,3916,980,0.5091836734693878,0.6918367346938775,0.4061224489795918,0.689601994186341
1,random_split,5,1,3916,980,0.5336734693877551,0.6989795918367347,0.4020408163265306,0.689601994186341
1,random_split,5,2,3916,980,0.5387755102040817,0.6857142857142857,0.3979591836734694,0.689601994186341
1,random_split,5,3,3916,980,0.5306122448979592,0.689795918367347,0.3673469387755102,0.689601994186341
1,random_split,5,4,3916,980,0.5316326530612245,0.673469387755102,0.39285714285714285,0.689601994186341
1,random_split,5,5,3916,980,0.5346938775510204,0.7030612244897959,0.37857142857142856,0.689601994186341
1,random_split,5,6,3916,980,0.5469387755102041,0.6918367346938775,0.3979591836734694,0.689601994186341
1,random_split,5,7,3916,980,0.5326530612244897,0.686734693877551,0.40816326530612246,0.689601994186341
1,random_split,5,8,3916,980,0.5479591836734694,0.6948979591836735,0.39693877551020407,0.689601994186341
1,random_split,5,9,3916,980,0.5091836734693878,0.7030612244897959,0.4,0.689601994186341
1,random_split,5,10,3916,980,0.5591836734693878,0.6775510204081633,0.40816326530612246,0.689601994186341
1,random_split,5,11,3916,980,0.5540816326530612,0.6724489795918367,0.3948979591836735,0.689601994186341
1,random_split,5,12,3916,980,0.5673469387755102,0.6795918367346939,0.39387755102040817,0.689601994186341
